name,price,daily_interest_percentage,weekly_interest_percentage,market_cap,daily_volume
QuadrantProtocol,$0.01078,+1.00%,+10.20%,"$4,479,188","$26,137"
Kambria,$0.002039,+1.61%,+42.94%,"$4,457,918","$120,597"
bitCNY,$0.1576,-0.45%,-1.10%,"$4,450,153","$230,566"
Cappasity,$0.006665,+7.76%,+29.82%,"$4,420,378","$739,307"
AAX Token,$0.5889,+0.85%,+6.51%,"$4,416,475","$707,767"
DeFi Degen Land,$0.00002937,+5.24%,+17.25%,"$4,405,619","$581,233"
ClinTex CTi,$0.03501,+11.26%,+28.76%,"$4,360,589","$273,869"
SuperLauncher,$1.00,+1.35%,+11.18%,"$4,341,727","$19,223"
SmartMesh,$0.003226,+1.29%,+14.33%,"$4,324,847","$90,314"
WOWswap,$7.60,-0.41%,+1.56%,"$4,319,289","$44,685"
Burency,$0.02222,+7.18%,+55.22%,"$4,307,378","$289,250"
PieDAO DOUGH v2,$0.2883,+2.49%,+9.52%,"$4,261,660","$129,759"
Monero Classic,$0.2215,-0.78%,+3.51%,"$4,247,624","$20,338"
VeriDocGlobal,$0.0004125,+2.68%,+19.00%,"$4,222,216","$162,540"
Hyve,$0.1635,+4.09%,+10.37%,"$4,193,062","$299,452"
Unido EP,$0.07912,+3.51%,+11.02%,"$4,145,215","$100,415"
HeroesTD,$0.2698,-3.51%,-22.78%,"$4,122,569","$46,252"
Leeds United Fan Token,$4.19,+9.37%,+32.01%,"$4,121,967","$604,520"
Rotharium,$1.13,-0.21%,+6.25%,"$4,107,319","$161,196"
Landshare,$2.43,+2.18%,+11.41%,"$4,093,186","$273,443"
INT,$0.008408,-3.78%,+15.93%,"$4,091,061","$573,537"
DeepOnion,$0.1806,+29.10%,+71.98%,"$4,086,685","$4,817"
WebDollar,$0.0002887,+8.14%,+18.29%,"$4,051,182","$206,199"
Cyclone Protocol,$162.28,-1.93%,+31.41%,"$4,049,494","$121,012"
REPO,$0.1784,-10.88%,-4.81%,"$4,027,375","$547,922"
Monavale,$427.18,+0.44%,+17.18%,"$4,011,578","$5,194"
Shar Pei,$0.008018,-0.73%,-48.06%,"$3,985,861",$694
PLATINCOIN,$0.7967,-1.89%,+16.51%,"$3,984,273","$134,361"
blockbank,$0.04921,+4.12%,-0.51%,"$3,983,541","$180,948"
Impossible Finance,$0.66,-0.70%,-0.36%,"$3,960,151","$9,706"
Hedget,$2.25,+0.51%,+3.21%,"$3,949,436","$198,217"
Egretia,$0.000933,-0.49%,+12.14%,"$3,935,867","$264,359"
Effect Network,$0.01549,-0.34%,+9.88%,"$3,905,987","$31,379"
BSC Station,$0.1051,-5.98%,+11.88%,"$3,880,269","$590,436"
Edgeless,$0.03173,-9.80%,+5.19%,"$3,875,635","$2,985"
Float Protocol (Bank),$26.12,+1.08%,+7.49%,"$3,858,234","$150,498"
Opium,$0.9258,+10.17%,+7.58%,"$3,852,306","$143,090"
EXMO Coin,$0.03546,+1.96%,+13.76%,"$3,807,568","$75,419"
Caspian,$0.008463,+18.52%,+45.04%,"$3,800,343","$67,827"
DinoSwap,$0.04777,-0.45%,+6.93%,"$3,799,843","$67,423"
Loser Coin,$0.00006298,-1.28%,+1.74%,"$3,797,234","$922,402"
TronEuropeRewardCoin,$0.01351,+130.24%,+5.85%,"$3,794,469",$673
Hydro Protocol,$0.005382,+0.16%,+27.76%,"$3,778,154","$460,023"
Flamengo Fan Token,$1.18,+7.12%,+14.49%,"$3,777,890","$172,494"
Kira Network,$0.3014,+3.32%,+17.72%,"$3,777,629","$510,660"
GENRE,$0.6927,+6.12%,+20.17%,"$3,771,132",$749
Dogey-Inu,$0.000000008903,+3.82%,+28.79%,"$3,770,736","$4,856"
CoinMerge (BEP-20),$0.0007996,+1.48%,-12.99%,"$3,767,454","$15,295"
Metaverse Dualchain Network Architecture,$0.0001867,-0.06%,-1.62%,"$3,760,529","$103,124"
Splyt,$0.131,+10.58%,+45.81%,"$3,758,194","$427,857"
OTOCASH,$0.1016,+0.01%,+0.02%,"$3,742,071",$82
Trittium,$0.02873,+16.12%,+38.90%,"$3,703,774","$80,662"
Lympo,$0.00446,+5.66%,+24.48%,"$3,686,943","$122,860"
Cook Finance,$0.004214,-2.47%,+9.93%,"$3,681,598","$242,467"
Bibox Token,$0.043,-3.29%,+14.54%,"$3,673,821","$9,180,874"
Footballcoin (XFC),$0.009644,-1.54%,-4.46%,"$3,613,069",$958
High Performance Blockchain,$0.04927,-2.53%,-8.32%,"$3,600,484","$510,951"
LOCGame,$0.07163,+1.66%,+19.00%,"$3,596,432","$260,802"
Metrix Coin,$0.0002104,-8.05%,+15.47%,"$3,574,932","$119,630"
IG Gold,$0.0004022,-5.15%,+25.78%,"$3,562,297","$5,469"
CyberMiles,$0.004432,+3.00%,+4.24%,"$3,545,282","$146,647"
Gridcoin,$0.008771,-34.58%,-17.86%,"$3,530,634","$14,401"
HashBX,$0.005605,+13.85%,+135.98%,"$3,527,376",$41
Patron,$0.00892,+1.48%,+36.53%,"$3,514,095","$4,260"
My DeFi Pet,$0.5075,-2.04%,+12.29%,"$3,490,362","$881,008"
Big Data Protocol,$0.08796,-2.57%,+8.60%,"$3,486,059","$348,768"
Mist,$0.06183,-7.36%,+5.35%,"$3,484,467","$1,771,316"
VelasPad,$0.2608,+5.21%,+43.31%,"$3,470,674","$329,939"
DiFy.Finance,$443.34,-0.10%,+4.42%,"$3,458,687","$53,884"
SmartCredit Token,$2.56,+2.85%,+24.66%,"$3,451,770","$19,290"
Pillar,$0.01323,-1.61%,+3.07%,"$3,430,197","$131,707"
QuickX Protocol,$0.00682,-2.02%,-1.25%,"$3,403,000","$23,656"
TrueFeedBack,$0.001443,-0.12%,-13.89%,"$3,402,596","$170,467"
Whiteheart,$381.65,+3.38%,+12.52%,"$3,392,111","$33,963"
Stream Protocol,$0.01206,-2.15%,+4.90%,"$3,385,988","$236,520"
Prosper,$0.7515,+1.34%,+6.01%,"$3,363,015","$1,927,162"
Massnet,$0.03427,-2.00%,+27.11%,"$3,358,936","$1,031,001"
Quark,$0.01205,+0.09%,+3.50%,"$3,351,389","$55,411"
Portion,$0.008308,-1.36%,+10.93%,"$3,349,252","$8,345"
Blockzero Labs,$0.0912,-3.18%,+22.90%,"$3,337,309","$173,362"
42-coin,"$78,645.94",+0.47%,+18.39%,"$3,303,126",$262
MetaverseX,$1.32,+9.39%,+76.53%,"$3,299,815","$576,864"
SpaceChain,$0.0107,+2.99%,+9.75%,"$3,299,020","$14,722"
VINchain,$0.00557,+7.29%,+15.25%,"$3,287,008","$263,494"
LiquidApps,$0.004622,+1.16%,+8.70%,"$3,281,098","$1,433"
Plant Vs Undead,$0.07458,-9.44%,-0.89%,"$3,271,731","$338,230"
IoT Chain,$0.03744,+12.56%,+30.44%,"$3,265,590","$448,981"
NewYorkCoin,$0.00002258,+9.05%,+27.84%,"$3,246,649",$371
Kommunitas,$0.005725,-2.62%,-3.79%,"$3,245,005","$1,198,510"
OctoFi,$4.06,-1.13%,+3.59%,"$3,237,535","$20,803"
Cred,$0.003252,+2.37%,+8.55%,"$3,220,773","$58,388"
Treat DAO [old],$3.22,-8.65%,-0.03%,"$3,216,637",$158
Tokes,$0.01601,+0.01%,+0.02%,"$3,202,511",$8
Raze Network,$0.04064,+9.75%,+20.42%,"$3,195,582","$1,461,810"
Unistake,$0.01497,+3.38%,+29.00%,"$3,178,954","$28,716"
Krios,$0.006346,-31.32%,+235.21%,"$3,173,147",$6
Lanceria,$0.01174,+2.04%,+14.75%,"$3,160,985","$42,278"
S4FE,$0.003522,+7.51%,+16.87%,"$3,152,956",$79
Spheroid Universe,$0.04544,-0.51%,-2.47%,"$3,142,006","$103,088"
TopBidder,$0.4854,+2.97%,+19.39%,"$3,138,571",N/A
Ares Protocol,$0.01357,-2.09%,+0.93%,"$3,138,191","$856,336"
STATERA,$0.0393,+95.61%,+101.20%,"$3,135,198","$126,644"
TRAVA.FINANCE,$0.007488,+2.78%,+4.12%,"$3,126,576","$464,303"
UniMex Network,$0.4127,-2.31%,+42.59%,"$3,121,024","$79,707"
Drops Ownership Power,$2.63,-4.22%,+48.50%,"$3,097,008","$853,495"
Crust Shadow,$0.03082,+7.08%,+41.65%,"$3,082,457","$1,379"
Bitspawn,$0.005952,+26.67%,+50.68%,"$3,060,222","$512,484"
Standard Protocol,$0.2271,+2.22%,+24.31%,"$3,049,807","$291,477"
Swerve,$0.189,-0.41%,+23.43%,"$3,044,012","$764,609"
Time New Bank,$0.0007472,+1.95%,+16.72%,"$3,043,154","$58,536"
Conceal,$0.2491,+10.21%,-1.08%,"$3,030,084","$41,666"
CropperFinance,$0.1073,+7.31%,+39.35%,"$3,019,583","$1,997,864"
Safex Cash,$0.02263,+1.20%,+15.59%,"$3,009,157","$2,601"
Public Index Network,$0.01968,+0.47%,+10.90%,"$2,997,945",$425
Vexanium,$0.004069,+22.44%,+24.68%,"$2,985,438","$550,121"
xHashtag DAO,$0.5194,-1.63%,+40.53%,"$2,937,494","$793,896"
Autonio,$0.03109,+6.14%,-4.08%,"$2,935,845","$160,013"
Fatcoin,$0.02713,+1.31%,+14.54%,"$2,920,472","$9,267"
Hush,$0.2798,+114.35%,+247.33%,"$2,917,737","$16,605"
1World,$0.07827,-0.08%,+16.34%,"$2,913,325","$8,406"
SunContract,$0.02371,-1.29%,+6.88%,"$2,909,119","$209,615"
Horizon Protocol,$0.07248,-1.81%,+10.53%,"$2,899,177","$68,496"
xSuter,$144.50,+1.11%,-1.92%,"$2,890,072","$199,102"
Legend of Fantasy War,$0.3732,+1.98%,-11.03%,"$2,872,807","$180,597"
FantomStarter,$0.02771,-3.09%,+1.04%,"$2,868,056","$110,924"
Vanilla Network,$4.40,-2.38%,+5.12%,"$2,867,079","$10,339"
Ycash,$0.2357,-1.09%,-15.52%,"$2,860,538","$16,657"
Spore,$0.0...07888,-6.57%,+2.16%,"$2,847,935","$8,620"
KickToken,$0.02298,+2.86%,+2.17%,"$2,842,082","$302,322"
Zap,$0.01203,-7.14%,+24.42%,"$2,841,368","$80,348"
HTMLCOIN,$0.00005351,-3.78%,+2.91%,"$2,839,644","$4,490"
Tycoon,$0.03598,+0.47%,-6.36%,"$2,833,255","$180,979"
SmartCash,$0.002003,+2.63%,+22.05%,"$2,832,425","$142,395"
BOOM,$0.00364,+0.09%,-0.19%,"$2,832,121","$80,049"
Polis,$0.2873,+2.16%,-5.60%,"$2,825,138","$78,019"
Zenfuse,$0.04342,+2.67%,+12.55%,"$2,818,115","$152,630"
BillionHappiness,$56.05,-0.03%,+18.02%,"$2,802,295","$207,307"
Cryptonovae,$0.05809,+5.40%,+5.96%,"$2,801,231","$13,540"
Lightning Bitcoin,$0.7198,+20.07%,+61.49%,"$2,778,913","$188,110"
CumStar,$0.000000004687,-0.17%,+61.67%,"$2,771,604",$337
PumaPay,$0.00008899,+2.13%,-7.01%,"$2,770,429","$269,349"
Leverj Gluon,$0.0089,-7.98%,+9.49%,"$2,754,668",$54
carVertical,$0.0003593,+5.84%,+17.29%,"$2,739,839","$283,636"
ASKO,$0.02075,+6.92%,+8.70%,"$2,738,110","$111,169"
Beyondfi,$0.3089,+15.46%,+46.75%,"$2,738,109","$770,513"
UnMarshal,$0.3849,+1.11%,-8.02%,"$2,731,092","$399,777"
Redpanda Earth,$0.0...06874,+3.25%,+17.89%,"$2,716,241","$216,910"
CRD Network,$0.0027,+2.82%,+15.94%,"$2,700,316",$235
Bistroo,$0.06171,+4.64%,+22.14%,"$2,688,614","$83,313"
Reward Hunters Token,$0.003342,+1.60%,+10.16%,"$2,673,273","$3,872"
Coinracer,$0.05684,+3.13%,+1.04%,"$2,663,543","$142,758"
Etho Protocol,$0.04624,-0.01%,+5.61%,"$2,659,966","$203,047"
Viacoin,$0.1137,+1.65%,+14.76%,"$2,634,841","$4,514"
YUMMY,$0.00000715,-3.36%,-6.41%,"$2,627,132","$131,945"
SAFE DEAL,$2.09,-2.72%,-3.65%,"$2,603,508","$417,165"
TransferCoin,$0.3122,+0.47%,+18.29%,"$2,590,332",N/A
Gleec,$0.1239,-0.99%,+80.50%,"$2,585,126","$908,385"
CPChain,$0.006816,+1.11%,+16.99%,"$2,567,955","$862,579"
Carbon,$0.07784,+3.34%,+14.60%,"$2,559,301","$104,085"
Inex Project,$0.0002345,+0.62%,+18.34%,"$2,553,804",N/A
Indexed Finance,$2.99,-18.04%,+14.83%,"$2,551,812","$76,313"
DAEX,$0.007184,+3.15%,-14.56%,"$2,547,937","$96,816"
PowerTrade Fuel,$0.1089,-0.36%,+12.19%,"$2,537,571","$126,191"
SIRIN LABS Token,$0.005155,-0.42%,+19.11%,"$2,535,498","$11,949"
ASPO World,$0.2088,+3.07%,-3.95%,"$2,530,711","$93,532"
Medicalchain,$0.007839,+28.20%,+21.17%,"$2,516,070","$63,741"
Verso,$0.04479,+3.88%,+16.17%,"$2,511,913","$90,859"
Realio Network,$0.3817,+0.09%,+123.77%,"$2,507,477","$318,244"
Argentine Football Association Fan Token,$1.77,+1.26%,-3.37%,"$2,489,689","$6,771"
Teloscoin,$0.01487,+0.88%,+0.54%,"$2,488,666","$34,381"
RealTract,$0.0002345,+0.62%,+18.34%,"$2,485,796",N/A
Open Platform,$0.002332,-10.58%,+20.15%,"$2,475,702","$419,191"
Unitrade,$0.08697,+10.51%,+18.11%,"$2,474,948","$191,880"
Centaur,$0.0008922,+0.30%,+2.79%,"$2,466,131","$369,589"
Dynamic,$0.16,+1.03%,+12.45%,"$2,461,641",$119
Isiklar Coin,$0.5966,-0.55%,+1.28%,"$2,460,773","$421,010"
UREEQA,$0.08843,-1.42%,-2.65%,"$2,449,577","$7,769"
Emercoin,$0.05006,+8.66%,+22.32%,"$2,440,942","$24,054"
Raven Protocol,$0.0005424,-0.15%,-15.48%,"$2,437,789","$5,182"
Skrumble Network,$0.002379,+7.88%,+9.70%,"$2,430,810","$185,345"
EOSDT,$0.9102,+0.71%,+2.43%,"$2,405,321",N/A
Unicly Mystic Axies Collection,$0.2403,+2.89%,+14.72%,"$2,403,176","$3,480"
8PAY,$0.03999,+2.36%,+2.21%,"$2,399,603","$116,664"
